"V1","V2","V3","V4","V5","V6"
"Project","Features","Y #Bugs","Y ChgLines","Y Exp","Y Priority"
"accumulo","X LOC","0.501907679250686","0.477500069376803","0.50263159752719","0.502221216470217"
"accumulo","X CC","0.494204675759346","0.45651971963403","0.49017795895154","0.493514800441215"
"accumulo","X churn","0.00388764498996747","0.065980210989167","0.00719044352126998","0.00426398308856794"
"bookkeeper","X LOC","0.446481104969777","0.487106641875104","0.451982836082925","0.446735023345966"
"bookkeeper","X CC","0.419188384014339","0.476804041581842","0.421179448304564","0.419335051195664"
"bookkeeper","X churn","0.134330511015884","0.0360893165430538","0.12683771561251","0.13392992545837"
"camel","X LOC","0.476250328080792","0.499674836720967","0.467068420972789","0.47361924134034"
"camel","X CC","0.411515335839881","0.387506435196612","0.44198980434324","0.399480086213067"
"camel","X churn","0.112234336079327","0.112818728082421","0.0909417746839713","0.126900672446593"
"cassandra","X LOC","0.401984200520936","0.446539647773701","0.395607949416621","0.404644811653007"
"cassandra","X CC","0.375760795324012","0.420338544381328","0.388555216349894","0.382665199529627"
"cassandra","X churn","0.222255004155052","0.133121807844971","0.215836834233485","0.212689988817366"
"cxf","X LOC","0.250647246263626","0.327703726380263","0.17667463888989","0.251075318411215"
"cxf","X CC","0.318087583766209","0.434176185079891","0.240779961695601","0.316413055997071"
"cxf","X churn","0.431265169970165","0.238120088539846","0.58254539941451","0.432511625591714"
"derby","X LOC","0.42077571353843","0.496795697490045","0.453925880667309","0.435267960741126"
"derby","X CC","0.534983873826203","0.47586461131614","0.511930397892613","0.523925182329207"
"derby","X churn","0.0442404126353673","0.0273396911938148","0.0341437214400778","0.0408068569296674"
"felix","X LOC","0.449331279652105","0.504702302151852","0.483034240993715","0.452765210766095"
"felix","X CC","0.375070957300184","0.392359595063988","0.406061908152937","0.379074484218988"
"felix","X churn","0.175597763047711","0.10293810278416","0.110903850853348","0.168160305014917"
"hive","X LOC","0.466081489873511","0.230706632875719","0.47516527108279","0.461683542283856"
"hive","X CC","0.465456249649967","0.246976318986249","0.473948717662697","0.462896740381846"
"hive","X churn","0.0684622604765217","0.522317048138032","0.0508860112545134","0.075419717334298"
"openjpa","X LOC","0.448959146411005","0.14642429601712","0.491525432493613","0.466834706434418"
"openjpa","X CC","0.381413510908013","0.1416738341051","0.426058153009196","0.404129229625848"
"openjpa","X churn","0.169627342680981","0.71190186987778","0.0824164144971909","0.129036063939735"
"pig","X LOC","0.38673835046333","0.309183620903327","0.547660460087225","0.396041596950831"
"pig","X CC","0.301171469466403","0.298088632879645","0.377530918455206","0.306935329480054"
"pig","X churn","0.312090180070267","0.392727746217028","0.074808621457569","0.297023073569115"
"wicket","X LOC","0.429260711216845","0.471436061788915","0.421384693540442","0.429047880047679"
"wicket","X CC","0.405996693382613","0.415946635768034","0.412205680965774","0.408580272352825"
"wicket","X churn","0.164742595400541","0.112617302443052","0.166409625493784","0.162371847599495"
