project,release,major,minor,pre,post
accumulo,1.4.0,1,4,215,362
accumulo,1.5.0,1,5,412,319
accumulo,1.6.0,1,6,284,393
bookkeeper,4.1.0,4,1,66,20
bookkeeper,4.2.0,4,2,85,89
bookkeeper,4.3.0,4,3,40,17
camel,2.10.0,2,10,165,366
camel,2.11.0,2,11,37,161
camel,2.12.0,2,12,18,237
cassandra,1.0.0,1,0,86,172
cassandra,1.1.0,1,1,70,167
cassandra,1.2.0,1,2,82,218
cxf,2.5.0,2,5,5,282
cxf,2.6.0,2,6,7,269
cxf,2.7.0,2,7,4,447
derby,10.1.1.0,10,1,36,232
derby,10.2.1.6,10,2,384,67
derby,10.3.1.4,10,3,368,201
hive,2.0.0,2,0,333,35
hive,2.1.0,2,1,267,142
hive,2.2.0,2,2,303,14
openjpa,1.0.0,1,0,81,153
openjpa,1.1.0,1,1,41,6
openjpa,1.2.0,1,2,121,91
pig,0.10.0,0,10,165,33
pig,0.11.0,0,11,116,23
pig,0.12.0,0,12,142,49
wicket,1.3.0,1,3,323,253
wicket,1.4.0,1,4,154,296
wicket,1.5.0,1,5,442,341
